c_custkey|c_name|c_address|c_nationkey|c_phone|c_acctbal|c_mktsegment|c_comment
4574|Customer#000004574|4VZMaS94,b6zUrupZMALeZVBhYQ|24|34-186-774-2857|8971.90|BUILDING|nt, express deposits. pending accounts cajole furiously. carefully e
4575|Customer#000004575|T,wdUw0DkcMHrmXZR|12|22-722-145-8786|868.51|AUTOMOBILE|nticingly silent requests. blithely regular packages mold stealthily above the special packages. final, fluffy de
4576|Customer#000004576|AErm5xZ3S5rroQZFjdyPGEDk3kAp,v8Hon2|11|21-423-599-5536|8986.91|AUTOMOBILE|grate about the slyly express platelets. daring packages cajole; final pinto beans solve.
4577|Customer#000004577|Xrsd,fGJBzvXuGfnkw|12|22-573-265-4461|57.47|HOUSEHOLD|al requests inside the fluffily ironic dinos sleep furiously according to the 
4578|Customer#000004578|k4UKuhvsONAhoZzFoOoikzguKAVFcOAOZp4U|5|15-980-920-1714|6766.57|HOUSEHOLD|e deposits. express deposits haggle carefully around the furiously pending platelets. carefully iron
4579|Customer#000004579|YicEVv97snZrcpn5F7hpTVWMuAaAJ|0|10-545-417-3153|5753.66|FURNITURE|ounts. carefully bold requests detect final, unusual courts. carefully regular 
4580|Customer#000004580|qXPuZljCxh3n7oiQY|3|13-125-404-2716|9711.83|MACHINERY|xcuses. dependencies are along the furiously final sentiments. quick requests are about the even, ex
4581|Customer#000004581|,Z9pAqyZcMNZZV6ZdrM|10|20-136-263-5154|6854.98|FURNITURE| slyly regular instructions are. carefully regular instructions nod about the final pa
4582|Customer#000004582|9SMQjc58UfVNaUyfD12jbyIUTKJH WaRDuy86ET|14|24-880-630-5819|6631.62|MACHINERY|s. fluffily special theodolites 
4583|Customer#000004583|kMu29JdDuFv5JihnOy4b2SvfmRrIS,X4IXZIEIx|11|21-169-511-2143|3676.46|HOUSEHOLD|ng ideas thrash about the final deposits. fluffily bold fox
4584|Customer#000004584|MO1S1Zf3XpjrpUDuJg4UF0v4eLQCGW,doGXbr4|12|22-417-105-6912|1183.71|AUTOMOBILE|sits. final, ironic requests sleep furiously
4585|Customer#000004585|QmYq1xZSBe5F2R2T|24|34-800-719-4055|4534.39|AUTOMOBILE|s. slyly unusual ideas after the even requests cajole carefully even deposits. dependencies around the ironic a
4586|Customer#000004586|kveI0X13T d,NzVnFSyeavn7ClbTD,F|3|13-254-135-4499|-454.86|MACHINERY|tes detect blithely. regular, busy dolph
4587|Customer#000004587|jeh6o1h2lmqb36JIVGHRXN81hNgWH1|24|34-674-971-4126|9074.31|MACHINERY| busy deposits. carefully even packages use after the furiously brave asymptotes. accounts wake furiously. unusual
4588|Customer#000004588|wTW3Lq1Rypg7Hoddm Defh5x,|23|33-445-237-5595|5952.78|FURNITURE|lly ironic ideas. always pending deposits snooze final platelets. daring
4589|Customer#000004589|xQxxXiEJX8l8rY3VaDvSwVbJiVfLVuM7|7|17-126-750-1273|1464.72|BUILDING|uests sleep furiously carefully fina
4590|Customer#000004590|lwEGortEwJb0MC,ebBQznmfXfJiU|20|30-308-417-5345|8448.01|HOUSEHOLD| instructions use above the car
4591|Customer#000004591|ZHdkZWgwqJuo,eNEoRBZrS2kc1L|10|20-635-983-8796|6768.44|BUILDING|sts can are slyly final accounts. fu
4592|Customer#000004592|Hax4Ih5,xYUP3YC0VUSj42M7ZcGotEnMRVz0sv|11|21-474-847-3982|4243.25|HOUSEHOLD|es. ironic, unusual asymptotes around the quickly bold deposits wake 
4593|Customer#000004593|3Nz2Y3KI2GsoxTlYdp6JLHw8hpk83i pAYOyCt|14|24-306-635-6413|1290.88|BUILDING|y pending packages eat after the furiously special accounts. bold, bold requests are. exp
4594|Customer#000004594|EKrBRjG,,BUt6GKy5lKv9Dy|5|15-646-778-1835|1758.97|MACHINERY|ets across the quickly final accounts th
4595|Customer#000004595|xbUtTYV0jNngWmvm86zYG7Wub4|5|15-392-968-1116|3903.67|AUTOMOBILE|special dinos. regular deposits haggle 
4596|Customer#000004596|HUlczktzbZLJDccArfsaYBjoZtwu5xz|21|31-186-238-4553|2975.37|BUILDING|ideas are blithely-- furiously final accounts cajole q
4597|Customer#000004597|eDN9NrrxeE2 EH wkRm|2|12-221-123-7360|9943.87|AUTOMOBILE|ding accounts wake carefully enticing excuses. slyly regular decoys nag above the silent, unusual de
4598|Customer#000004598|aO2liHH8ikJ3iFB|15|25-125-856-6854|1723.85|AUTOMOBILE|asymptotes. fluffily ironic packages nag carefully s
4599|Customer#000004599|7ZysHsWAzXBQvYBpx|17|27-148-955-5777|7705.07|BUILDING|cajole carefully deposits. final packages wake. furiously ironic packages cajole carefully. final requests a
4600|Customer#000004600|O9BXImeo74RWuFIA|10|20-550-680-1875|5145.60|MACHINERY|nic dependencies. carefully quiet theodolites use beyond the regula
4601|Customer#000004601|spwTVS0V3dC9VSXEtO7ZKXLrOa4vj01yZ2YR|3|13-265-872-2457|9186.92|MACHINERY|. special dependencies shall have to wake quickly after the slyly silent accou
4602|Customer#000004602|L  E1DXJ3cq8QtDaV|1|11-559-345-9459|6661.04|FURNITURE|long the slyly express instructions haggle blithely after the quic
4603|Customer#000004603|7cYDfmySscgsuX|24|34-753-833-6228|3206.44|MACHINERY|ts. quickly blithe dinos are carefully along the fluffily regular accounts. slyl
4604|Customer#000004604|BMPTvTReG3ZRJaeRLAn x,ZYJujrEnOrm107J|2|12-623-613-4205|-387.33|FURNITURE| instructions are carefully. theodolites sleep quickly past the blithely unusual packages. requests aff
4605|Customer#000004605|MO9utD8XxpLPYRvCFDArnweqTKGlnK7Dj,pTZcW,|6|16-428-637-6497|-5.74|AUTOMOBILE|ithely even dinos. carefully silent deposits wake. 
4606|Customer#000004606|24KD9i0evDldKm|23|33-535-668-9048|516.02|BUILDING|integrate blithely unusual platelets. slyly special accounts above the caref
4607|Customer#000004607|U7YOiDOAT9Y qgHZEvOaXJ6Zo|18|28-321-806-3729|2729.35|FURNITURE| express dinos. foxes print quickly against the furiously ironic ideas. even, unusual packages hang a
4608|Customer#000004608|r5az1DTlISF2be dMEQ5|23|33-921-791-2906|229.24|AUTOMOBILE| hang furiously. requests cajole blithely within the thin excuses. blithely even packages will have to
4609|Customer#000004609|6S5SQtVa mh7,IPxIepoaCjB9N6gDFWbBt|15|25-198-400-5775|820.04|MACHINERY|y bold deposits cajole quickly unusual foxes. u
4610|Customer#000004610|NZtU a8jLKnv6KPw0phYwkmZxwD nXmC9l|5|15-438-355-2235|8400.08|AUTOMOBILE|se around the carefully regular pinto beans? slyly express accounts boost across the furiously pending deposit
4611|Customer#000004611|Dnsgn5U0avhjgLZ6mQ8NP|18|28-310-807-4801|4137.56|HOUSEHOLD|ckages. even requests doze. accounts doubt slyly furiously ironic reques
4612|Customer#000004612| gc 4jChfXaFDqf1bpGrHKuvwMh03GuRXYxh|4|14-436-997-2515|6960.45|HOUSEHOLD|g the quickly even instructions use furiously regular packages. quickly pending deposi
4613|Customer#000004613|T6ZafgW,W98WwgGWdaRYQ|5|15-142-359-3773|8323.10|FURNITURE|sts wake quickly furiously bold deposits. requests do wake fluffily slyly careful packages.
4614|Customer#000004614|TBNTyH30NK9YbIO LBuvxZrkuka,Z8Cs|10|20-543-410-5519|8433.87|MACHINERY|n instructions boost carefully about the quickly regular deposits. furiously permanent i
4615|Customer#000004615|iIUtnq5AtIqfNQNtwKsa7QO,1n504s|12|22-640-317-7554|158.50|FURNITURE|l theodolites-- regular packages wake blithely. carefully final deposits run blithely packages. blithely bold reque
4616|Customer#000004616|JTz4g0p4HtVb2QvEI5hwbH|3|13-552-376-2130|-155.42|HOUSEHOLD|ronic requests. slyly even ideas integrate fluffily. accounts haggle fluffily. alw
4617|Customer#000004617|y9oMieBKX EQwSblVBgvWw|4|14-569-825-7426|3722.50|AUTOMOBILE|y final pinto beans after the blithely unusual accounts sleep fluffily quickly unusual packages. blithely even 
4618|Customer#000004618|zHSpDxMmMxHpDjDO7QmW|3|13-757-566-5051|5031.34|HOUSEHOLD|uriously unusual deposits according to the unusual requests wake
4619|Customer#000004619|AzoQYq8E3eG0vBuiuHpcIA6JKDMq4PcFvjP|17|27-143-100-7271|2808.80|AUTOMOBILE| realms. dependencies after the ironically unusual platelets detec
4620|Customer#000004620|v4dpHh7oSeazutLxVz1dQasZklfwnpQ7qjG|5|15-622-112-5583|4541.63|FURNITURE| dependencies. slyly regular dependencies would boost slowly final req
4621|Customer#000004621|9wxQke60MO2P g9xfuOvn Ya6GwnJDLf|1|11-833-569-6499|115.76|BUILDING| requests doubt boldly ironic, pending dolphins. regular dolphins are furiously. ironic instructions aroun
4622|Customer#000004622| Z59CfLM05J0P9friGUpAAOmUxg|22|32-918-750-4550|7439.53|HOUSEHOLD|f the carefully express theodolites. blithely final theodol
4623|Customer#000004623|K6KlCEPk5YCWfv1P1KgQYG6JYOu2umbh|7|17-541-794-2509|8267.70|BUILDING| the furiously regular pearls are blithely ironic foxes. blithely regular account
4624|Customer#000004624|A52sWNPaDZgVJNBEi6YkZS9,THKaVgO|22|32-318-862-4829|1318.89|MACHINERY|quickly foxes. even, fluffy foxes boost furiously final theodolites. regular instructions are after the quietly e
4625|Customer#000004625|idNcpZD0lHJc|18|28-749-818-2342|-382.03|BUILDING|bold, regular deposits wake blithely fluffily even asymptotes. ironic packages are blithely express dependencie
4626|Customer#000004626|R02jb5XGQNmIKAL6gJj8H|19|29-578-988-5586|1187.78|HOUSEHOLD|y even instructions nag furiously about the pending, fi
4627|Customer#000004627|ShfMIqwsztNb5j7s6pRzCHFUwhUEW7DK|3|13-732-623-1076|7048.56|MACHINERY| silent packages. even, even dependencies cajole fluffily final, regular courts. slyly regular requests ha
4628|Customer#000004628|OPxu9PjN4LCyPSTLC|23|33-964-599-7133|4252.36|BUILDING|ironic, final sentiments cajole furiously slyly even theodolites. de
4629|Customer#000004629|HnaEMF9kyLboQp3GSu|0|10-429-644-8027|345.06|BUILDING|lly bold deposits. furiously special deposits alongside of the packages sleep slyly 
4630|Customer#000004630|B4Gixtr4IJvX6BYgKSEy9tsHxVJG un3J|0|10-674-536-7972|419.13|AUTOMOBILE|e of the regular sheaves. careful accounts use furiously accounts. 
4631|Customer#000004631|eosLJLCvHOCr3 E2P81WjNpMCbIDFuCyKCe4hHQ|12|22-106-119-8649|2306.48|AUTOMOBILE|ake slyly slyly final theodolites. fin
4632|Customer#000004632|,lwBemMISxUdVkJMin4Q2N41de9MelpF|0|10-895-291-2952|9940.98|MACHINERY|regular deposits across the evenly pending pains haggle fu
4633|Customer#000004633|UFvN4zDTqDz|22|32-385-224-3959|8181.96|AUTOMOBILE|furiously. quickly bold asymptotes are along the ironic, express pinto beans. theodolites cajole. furiously
4634|Customer#000004634|lc6LXKujFV,0JxWxq6Wj,Tth5dOv|24|34-415-429-8082|1304.79|HOUSEHOLD|side of the carefully silent packages haggl
4635|Customer#000004635|tY0eDvwduTLwf|5|15-538-901-3614|4475.49|FURNITURE| daring accounts. deposits boost blithely. final ideas
4636|Customer#000004636|iec GmNW5IVbznMWkf|10|20-647-417-4734|-458.81|BUILDING|ts. final, pending tithes after the ironic accounts boost carefully care
4637|Customer#000004637|5mgZ7IeoRIvEZkznk1gqbtcaAX,1doenZ766|12|22-237-487-6151|8786.08|BUILDING|e regular excuses; carefully bold th
4638|Customer#000004638|oCJkFtBCtEKu axGc4NuFNuHIlhaaXxwgfgJudT|13|23-701-289-3269|1697.12|MACHINERY|bold excuses cajole carefully out
4639|Customer#000004639|IBvqM6sLx UU SshBxX6C88r0D|7|17-141-368-3994|9437.28|AUTOMOBILE| above the unusual accounts wake along the quiet instructi
4640|Customer#000004640|owcQd0raCc|23|33-822-397-5924|1417.59|MACHINERY|e. ironic, even packages boost. slyly express foxes use across the express accou
4641|Customer#000004641|7fwBSlExrwDfKwsbfOmpJ5mENXqU|7|17-884-903-4020|8453.27|AUTOMOBILE|ckly special excuses. pending, final courts use slyly carefully bold foxes. bli
4642|Customer#000004642|9eFFEhRFQ1rMi7QJpPieFvg,K3MF4dEARV4o,o|9|19-652-854-2520|7246.21|MACHINERY| furiously even asymptotes haggle fluffily quickly regular dependencies! furious
4643|Customer#000004643|NFlw4IUlq8ZHBIYHfKej m3p3cis,CFyKs54|7|17-710-317-6571|4118.92|MACHINERY|arefully close requests. slyly dogged theodolites integrate. carefully unusual depo
4644|Customer#000004644|1bJxjZuh X2DtGpdtZL mcDxUrr32JUInitPfl|13|23-755-183-6299|1684.75|AUTOMOBILE|usly bold deposits. regular, pending deposits use slyly. final, silent ide
4645|Customer#000004645|6zMSGZpVP3|5|15-978-542-3036|-514.38|HOUSEHOLD|sual deposits haggle fluffily bold, final requests. carefully permanent theodolites are furiously. 
4646|Customer#000004646|lKaa2eTiaXYvGzOXQlPu6yak3ts,p |16|26-835-386-9435|9807.82|HOUSEHOLD|ress accounts. furiously silent pla
4647|Customer#000004647|P4TQN,rUoyf7CjTYFw4BAaOvFKhwQ4z|5|15-921-260-1410|3188.34|MACHINERY|ccording to the final, special requests! furiously final ac
4648|Customer#000004648|gYb1ulN2G9X,LD6uRDrWxY|12|22-181-163-1413|3328.97|MACHINERY|s nag furiously slyly pending asymptotes. deposits maintain. b
4649|Customer#000004649|iFvH73LqJQml|23|33-729-876-2882|2051.55|BUILDING| final accounts. ironic requests detect fluffily blithely 
4650|Customer#000004650|GONS5fIv,ZG2 vkznXMHc4d Kd|2|12-661-615-8032|4313.25|AUTOMOBILE|inly close, ironic packages; quickly iron
4651|Customer#000004651|92wIrl2jS9lLaDoDgswsSNitb1xFN|4|14-673-371-1798|783.12|FURNITURE| quickly. slyly ironic ideas sleep fluffily. special, final co
4652|Customer#000004652|SzjB5jfLqetC3NjzsLjZtJsnRxPJT7imxf3Wq Z|10|20-316-786-5249|3770.63|BUILDING|osits. blithely bold accounts eat above the furiously bold excuses. even accounts boost. final, regular pa
4653|Customer#000004653|0VRikD,Ug 5KR|16|26-894-332-9171|-102.33|AUTOMOBILE|ress dolphins. ironically regular packages engage furiously against the requests. furiously regu
4654|Customer#000004654|LxakqfVAoAQ5xbttw4vW1|21|31-418-179-3938|5076.29|BUILDING|le around the blithely regular deposits. blithely dogged deposits after the regular foxe
4655|Customer#000004655|ilde62VhfYRwwCSkVkbDCHuwRBAmt|5|15-842-968-5624|-739.19|BUILDING|e unusual forges. carefully ironic patterns breach slyly after the caref
4656|Customer#000004656|sJS 8Fc4Bal,noiw9T3,TO8e|1|11-247-738-4785|4322.68|HOUSEHOLD|olphins. special foxes wake carefully. final grouches promise furiously. quickly express platelets a
4657|Customer#000004657|80BclnwGfu4R,ECOAfY5j0|3|13-193-651-4217|5226.19|MACHINERY|ully regular requests x-ray around the furiou
4658|Customer#000004658|jwGOML3LAVLIHKfRW 7SimzPBVzOJNJ,tBxhh|20|30-253-364-2448|-435.95|HOUSEHOLD|sly regular, final theodolites. furiously ironic excuses haggle. slyly regular
4659|Customer#000004659|WU2MVxIVMAC28MnQ3DRAYw6iH1eUH5CS|20|30-652-337-9548|7878.70|HOUSEHOLD|l foxes cajole according to the furious deposits. slyly unusual foxes doze about the furiously bold forges. blithel
4660|Customer#000004660|eijzZauptDqF1c0eiC8mfb 4L4|7|17-322-210-5994|8342.15|HOUSEHOLD|ronic deposits. bold excuses sleep slyly bold dugouts. blithely unusual requests sleep never. f
4661|Customer#000004661|552nTZq7zDhBZM|0|10-271-350-3496|9576.81|MACHINERY|es nag above the slyly unusual foxes. finally regular de
4662|Customer#000004662|17vuZ5rKWS6POyEcHTkPFJtOoNda4OfJFm9|19|29-951-326-3822|3565.11|MACHINERY|ronic, ironic dependencies. blithely expr
4663|Customer#000004663|APuqzcE2k,wji2DXd2lLIF|13|23-854-671-2432|-150.63|FURNITURE|lithely furiously final pinto beans. carefully regular foxes cajole slyly. slyly even
4664|Customer#000004664|KX4sn2eHneH|12|22-911-809-8495|7333.61|MACHINERY|e carefully across the theodolites. final accounts along the ironic foxes sleep daringly after
4665|Customer#000004665|0XeXKm6LRN3Cl|11|21-193-316-6094|-906.12|HOUSEHOLD|he express frays haggle furiously along the foxes-- ironic foxes snooze carefull
4666|Customer#000004666|Ia8w50ZP0TeD9mxXTxV,HnMpzsH4P4fVOX6Ia4|21|31-290-120-2026|3779.88|AUTOMOBILE|c deposits. slyly final requests alongside of the regular theodolites wake ca
4667|Customer#000004667|QBl3w3F8vcLmsq4jwqcX|15|25-547-862-1163|1464.13|AUTOMOBILE|ully according to the quickly final courts; carefully silent platelets are furiously. blithely
4668|Customer#000004668|ibUyx6H4lig1o2s dOMOumN,qFnG, OAkme|10|20-316-593-9593|9629.52|AUTOMOBILE|silent accounts wake. slyly regular packages are blithely express, express pinto beans. furiously bo
4669|Customer#000004669|oih5j57OZcGc8w,vNU8eU7U,3fl9N,|14|24-152-828-6881|9483.24|BUILDING|blithely final ideas! fluffily pending accounts boost carefully. ac
4670|Customer#000004670|gU41NF2qHTdrOFlGyKBr96YermtoePRF5|5|15-837-596-3061|3897.95|MACHINERY|ironic requests. bold instructions are carefully quickly final requests. quiet, eve
4671|Customer#000004671|k7bU TwJly|11|21-311-118-1908|5813.02|BUILDING|nstructions. instructions might are. carefully even accounts across the bold reques
4672|Customer#000004672|,m3O1o1bS5Yk|3|13-284-720-2138|6481.71|BUILDING|final accounts among the furiously even de
4673|Customer#000004673|jwQjh51Q7L5JMOnUjX5uurcxFwV27OFlk|20|30-632-242-5145|3065.01|AUTOMOBILE|ironic pinto beans. final theodolites sleep. pending accounts wake regular, even accounts. ironic, unusual packages 
4674|Customer#000004674|GLGJwmKWA355gGuZyBbLW|6|16-284-484-4043|9669.58|HOUSEHOLD| unusual packages doubt after the final, unusual ideas. fluffily final packages boost; platelets cajole toward t
4675|Customer#000004675|4AXtZU0IfFIi8R1wJEWI2SQacva96OJWxg|5|15-728-284-3998|680.84|BUILDING|arefully according to the fluffily 
4676|Customer#000004676|wDuLgbhwXF7W0ZR2s  nT40t4 q2,rmtej7|7|17-682-187-7162|890.17|HOUSEHOLD|boost furiously excuses-- packages 
4677|Customer#000004677|xRYYKPUVYUV0DSO4I9IkVvpftDScMR2|22|32-290-159-9998|-985.90|HOUSEHOLD|egular attainments cajole carefully ironic dolphins. express, regular deposits integrate against the eve
4678|Customer#000004678|Nbtshgr1P75qtyJxRHorBfzFO9JldGrpb3XY,|13|23-941-301-8997|4832.81|HOUSEHOLD|blithely. special theodolites haggle theodolites. special, regular packages haggle for the fu
4679|Customer#000004679|o645ajtBSScrpkFs6Rwi29lvKYgVDc6|13|23-194-960-9596|-909.07|BUILDING|equests. quickly unusual foxes cajole blithely about the deposits. careful package
4680|Customer#000004680|7kduQZCtVfrGGU1F6qYivBaiX i2u6wXqGU8M9M|19|29-787-487-4383|9226.70|FURNITURE| express, pending deposits. furiously regular deposits about th
4681|Customer#000004681|o0YHx4CL8 ToAlTIdEdH8,e2OAR IfNe|18|28-141-985-3841|4145.47|FURNITURE|y ironic foxes. slyly pending requests 
4682|Customer#000004682|8R qJqh525aduRA3ekR311SS|0|10-998-231-8039|7906.49|BUILDING|inal deposits maintain slyly quickly unusual requests. ironic ideas unwind c
4683|Customer#000004683|3lS9YB7XwElxKb9D |0|10-143-862-3681|2443.41|HOUSEHOLD|l packages breach alongside of the excuses. even instructions n
4684|Customer#000004684|Mt4uAJWABWCFEOjIjS2xdioaSp8o|8|18-847-799-5343|1438.87|MACHINERY|y final instructions unwind fluffily final foxes. bold epitaphs poach
4685|Customer#000004685|07Sj36rhIk8KyVX9u9TM7Sd,fnO5hyCBQ|3|13-608-711-9130|3054.52|AUTOMOBILE|s boost fluffily ironic excuses. asymptotes haggle slyly regular foxes. requests are. furiously 
4686|Customer#000004686|pt EqdaAAq|0|10-902-430-5006|9342.15|MACHINERY| have to haggle furiously. idle requests cajole furiously. regular depend
4687|Customer#000004687|vhfGtMwUS5dOdwqBk482PeZBk|4|14-538-693-4140|8626.22|FURNITURE|ickly regular foxes. fluffily pending foxes eat quickly sl
4688|Customer#000004688|pIKtUrUXrNfcflalc|19|29-495-191-3324|9963.16|MACHINERY|thrash. blithely ironic theodol
4689|Customer#000004689|AjIhLU,OgVh9h7lGVoCCu3p0p|13|23-394-550-5844|6985.77|BUILDING| enticingly against the ideas. final asymptotes haggle carefully. blithely pending packages haggle
4690|Customer#000004690|BCVgOllQhvZYP|13|23-230-619-8806|4791.90|BUILDING|tions cajole carefully requests. fluffily final theodolites 
4691|Customer#000004691|WNT23cF4hGohBugKq|2|12-993-647-5655|4453.45|BUILDING|beans across the quietly even accounts are quickly unusual, pending instructions. carefully pending courts 
4692|Customer#000004692|bmGrkWfekL5NTEe7tC|5|15-563-833-5571|3069.23|BUILDING|furious platelets. ironic ideas haggle quickly across the carefully ironic accounts. regular, pend
4693|Customer#000004693|PetBF5hu6pRJpRNefuvH74NYXm7nB4QG90RptoK|16|26-402-338-1647|3456.79|BUILDING|s wake slyly quick accounts. furiously ironic dolphins according to the silent,
4694|Customer#000004694|rTbWHWphIF HKQm6ky|17|27-554-150-5023|5302.49|AUTOMOBILE|le blithely furiously ironic pinto beans. slyly regular pinto beans 
4695|Customer#000004695|PtWu8pnkiNpdcyDHRjPFYS1af mfN|5|15-557-710-2642|5881.45|FURNITURE|nal requests around the even requests sleep fu
4696|Customer#000004696|,g2qW dZ8N7|17|27-570-804-9591|1614.20|FURNITURE|ccounts. quickly ironic pearls cajole quickly. furiously e
4697|Customer#000004697|tHCygVodBOc|23|33-123-277-3543|1861.64|MACHINERY|ld theodolites. packages cajole carefully final
4698|Customer#000004698|MGp5ihURr8FLTHbU0PITpLpR6A6QATYl|6|16-993-802-8843|2557.27|AUTOMOBILE|the furiously express packages. quickly even requests wake fu
4699|Customer#000004699|0ePCOVba2tVCY0y8RWRFO64u0m,m8nSpldkZzVK|11|21-884-198-8221|949.25|BUILDING|sly ironic asymptotes. carefully final dependencies boost after the furiously ironic ideas. reg
4700|Customer#000004700|3Y3EQbgodN1z2snHbVw4oslfuFwf8d|4|14-655-918-2318|1923.32|HOUSEHOLD|gle carefully. unusual Tiresias across the final, unusual packages nod
4701|Customer#000004701|atb7gthohdUMfYeJhUVQEQtnYczQstJwHN,|6|16-979-183-3926|5184.14|HOUSEHOLD|es. furiously regular foxes sleep carefully along the permane
4702|Customer#000004702|sR0QaAcqNCb|16|26-497-211-6072|7887.48|AUTOMOBILE|cial asymptotes engage blithely after the regular instructions. quick
4703|Customer#000004703|HsYU98WTSjXtM5V3NL12,QBMsrJGfCZ4Iz7i5Pi|13|23-497-962-5598|1980.16|AUTOMOBILE|press deposits: ruthlessly special foxes wake. express deposits use carefully fluffily silen
4704|Customer#000004704|wGfGQCeFyKB8B,RiCuSRyov8zO|4|14-889-691-8302|3431.46|MACHINERY|e ruthless, ironic accounts. furiously ironic requests cajole. carefully enticing foxes against the slyly 
4705|Customer#000004705| IKqlbTDCy2rVvnrqhC|18|28-473-115-6783|8593.93|AUTOMOBILE|its. express, careful ideas haggle after the unusual requests. slyly regular packages use slyly p
4706|Customer#000004706|R2l6MXqx0QkKF8sVBKfDVr|0|10-103-318-6809|6201.74|BUILDING|the even, unusual instructions: slyly regular requests x-ray quickly among the slyly silent pinto beans. unus
4707|Customer#000004707|JJR1d4gEby gVYvxvkeWCcyCI|18|28-960-370-5124|5734.43|FURNITURE|of the unusual pains nag slyly carefully even accounts. sly braids use carefully
4708|Customer#000004708|FlSc amroJzZqQga,x,X|11|21-178-725-2950|5502.63|BUILDING| sleep above the fluffily final theodolites. carefully even requests sleep slyly final packa
4709|Customer#000004709|h9iI,nl3TcKDwOjhSE|20|30-873-844-5223|3652.96|HOUSEHOLD|efully. furiously special epitaphs should have to are 
4710|Customer#000004710|8U2mdz2FhosF5S42EbLujb51,aKtRP|11|21-302-401-2119|2284.46|FURNITURE|ely ironic packages cajole. express, even deposits affix quickly. slyly regular ideas haggle according 
4711|Customer#000004711|Cnot149yFakfVGCBuc|11|21-535-383-9491|2906.10|MACHINERY|iously about the requests. quickly q
4712|Customer#000004712|PuX4mZm0CHBijfSNIW|2|12-269-758-4711|843.53|MACHINERY|ending, even hockey players. blithely 
4713|Customer#000004713|XKDH,zW81zbHeg0eYM1BzQ4Bt2|4|14-204-359-7778|7200.58|MACHINERY|quests. furiously bold packages sleep never unusual asymptotes. blithely bold deposits ac
4714|Customer#000004714|u 7oiZCVGWy8qL92LTu7T|10|20-125-283-3358|7153.58|MACHINERY|old sentiments. quickly final courts are furiously carefully bold ideas. carefully ironic re
4715|Customer#000004715|E0vstpbyjzFquPu|24|34-656-379-5621|9189.70|FURNITURE|fully express deposits. ironic pinto beans are carefully silently ironic theodolites. notornis after th
4716|Customer#000004716|31eQLkyTOCS3X3FORqhLqMKzJF5rmIXTIz|22|32-567-264-2088|9408.12|BUILDING|quests. blithely unusual accounts hagg
4717|Customer#000004717|1cm8bKPKVXWy5AC95njXwYai0oyuXzG|22|32-958-100-2072|6308.85|AUTOMOBILE|silent theodolites. blithely regular packages cajole slyly. carefully bold cou
4718|Customer#000004718|Cf UdAF1t8cKmwZzT3OyJRS0fQ83c|6|16-183-987-3882|1825.45|BUILDING|uriously quickly pending ideas. carefully final packag
4719|Customer#000004719|XfJVH1Qu7MoZQLz,pgJKBkrmsD40x5HKZpt9|23|33-807-929-2166|-677.45|FURNITURE|e carefully. ironic, ironic frets may sleep. slyly final requests boost. slyly special theodolites boost
4720|Customer#000004720|5UqxWud7t5ucygwtsU3mfP|18|28-246-144-9922|7945.96|FURNITURE|on the final packages. carefully even packag
4721|Customer#000004721|amHocOTLADFKm9lZEYO|20|30-736-831-9944|5766.39|MACHINERY|ake quietly at the blithely even requests. express packages haggle above the express pinto beans. s
4722|Customer#000004722|emT,M6tkBZp|23|33-987-681-3990|3756.87|AUTOMOBILE|ly regular accounts. notornis cajole fluffily sly pinto beans? st
4723|Customer#000004723|O5r9rMbgE7R34pytweUzCHKg94cJtckb c|5|15-194-473-3749|-291.08|BUILDING|regular ideas detect about the blithely regular
4724|Customer#000004724|CjS2G4,,9YdPd2dZvaV0Ek|15|25-704-482-4483|776.67|MACHINERY|ole quickly furiously regular foxes? carefully ironic accounts sleep 
4725|Customer#000004725|AJ7ZcahpvdMPD KthVsZOm,aqMwX3X5v28|24|34-494-548-1633|5368.26|BUILDING|he final instructions are unusual, ironic packages. even pinto beans af
4726|Customer#000004726|6WzaoypRvYTIH6Sv1790|15|25-931-151-7080|306.35|AUTOMOBILE|n instructions according to the final theodolites haggle blithely express requests. blithely express foxes thr
4727|Customer#000004727|0GFqF1 3X0Q7EbrnF9seXulI2rCM fq3|19|29-908-346-8562|9740.62|MACHINERY|final accounts sleep blithely ironic accounts. packages wake slyly alongside of the carefully unusu
4728|Customer#000004728|y43lwm2upS4hWu1uPYtwc|24|34-168-648-8415|6727.44|FURNITURE|arefully regular asymptotes. furiously regular instructions slee
4729|Customer#000004729|fUVLW3ggVGexE1fm2jZU|16|26-715-997-6824|8135.26|BUILDING|s. furiously regular accounts after the spe
4730|Customer#000004730|VKGh MNNSvfzNWP3D6o1EJZOwBnduN0CN8rZGyy|11|21-998-297-6902|8366.85|AUTOMOBILE|deposits affix bravely final, unusual packages: blithely regular deposits sleep excuses. pending dolphins c
4731|Customer#000004731|CE8ZYd3Gh8dvo0pe2GuO9kl|21|31-980-274-6298|6630.69|MACHINERY|s was furiously. permanently final courts de
4732|Customer#000004732|cd7ODkxrE68sbVERe8iI7CQKOr9OCne5NDkS9U|1|11-909-756-9446|-932.27|HOUSEHOLD|al depths. fluffily ironic pinto beans are slyly. even, ironic depos
4733|Customer#000004733|L p0S6F3X9mAA V H|23|33-853-545-8736|4244.40|MACHINERY|ironic epitaphs sleep carefully.
